pnode_id,pnode_name,pnode_subtype,pnode_zone,sub_id,sub_name,sub_city,sub_state,sub_max_volt,sub_lat,sub_lng,match_score
2156115392,SAPPHISW138 KV  NUCOR,LOAD,AEP,154110,NUCOR,CRAWFORDSVILLE,IN,345,39.97213947700004,-86.83174591899996,100
98370233,RYAN    138 KV  TR1,LOAD,ATSI,153975,RYAN,MEDINA,OH,-999999,41.119989221000026,-81.86602460999995,100
98370239,SHALERS 138 KV  TR1,LOAD,ATSI,153955,SHARPLES,YOLYN,WV,-999999,37.905770577000055,-81.84151505299997,80.0
98370245,STONEY  138 KV  TR1,LOAD,ATSI,154006,STONEY,HINCKLEY,OH,-999999,41.22625313200007,-81.77346179899996,100
98370245,STONEY  138 KV  TR1,LOAD,ATSI,152378,STONER,AKRON,OH,-999999,41.07673316100005,-81.57006223099995,83.33333333333333
98370257,TUSC    138 KV  TR2,LOAD,ATSI,154051,TUSC,NORTON,OH,138,41.047638910000046,-81.59906993599998,100
98370337,MAXWELL 138 KV  TR71,LOAD,ATSI,153868,MAXWELL,SOLON,OH,138,41.386584183000025,-81.40253193299998,100
98370343,NORWAY  138 KV  TR71,LOAD,ATSI,153866,NORWAY,SOUTH RUSSELL,OH,138,41.43042365600007,-81.35481043499999,100
98370363,SPRUCE  34 KV   LDR1,LOAD,ATSI,148485,SPRUCE,MADISON,OH,138,41.71663667100006,-81.05005496199999,100
106856781,WOODSRD 138 KV  T12,LOAD,AEP,113595,WOODSDALE,TRENTON,OH,345,39.45039271500008,-84.46071795699999,75.0
112586233,GREENUP 4 KV    G1,GEN,EKPC,152321,GREEN,NORTH CANTON,OH,-999999,40.939346589000024,-81.46691852699996,83.33333333333333
112586233,GREENUP 4 KV    G1,GEN,EKPC,124541,GREENE,GREENE TWP,PA,138,39.997638348000066,-77.61579338799999,76.92307692307692
112586233,GREENUP 4 KV    G1,GEN,EKPC,153901,GREENE,XENIA,OH,345,39.70854121000008,-84.00153270299995,76.92307692307692
119117463,EDON    69 KV   EDONT_69,LOAD,ATSI,146791,HEMDON,HERNDON,VA,-999999,38.966076670000064,-77.37907566999996,80.0
119117807,CHARLES 138 KV  BK10,LOAD,DEOK,137536,CHARLES SUBSTATION,CINCINNATI,OH,138,39.10643584800005,-84.52039028799999,100
119117807,CHARLES 138 KV  BK10,LOAD,DEOK,147881,CHARLES CITY ROAD,HENRICO,VA,230,37.51559167700003,-77.36597471499994,100
119117823,COVNGTN 69 KV   BK1,LOAD,DEOK,121373,COVINGTON,COVINGTON,VA,138,37.76931996800005,-79.98599993299996,87.5
119117825,CRESCNT 138 KV  BK1,LOAD,DEOK,150967,CRESCENT,CRESCENT TWP,PA,345,40.56626115900008,-80.23567767699996,93.33333333333333
2156109934,KENT2   69 KV   T6,LOAD,ATSI,153856,KENT,KENT,OH,-999999,41.150429829000075,-81.37853990999997,88.88888888888889
119117953,MIDWAY2 138 KV  BK1,LOAD,DEOK,147434,MIDWAY,CHARLOTTESVILLE,VA,115,38.026582123000026,-78.70715991099996,92.3076923076923
119117953,MIDWAY2 138 KV  BK1,LOAD,DEOK,150726,MIDWAY,CHRISTIANSBURG,VA,-999999,37.17076572800005,-80.42270363999995,92.3076923076923
119117969,MRGAN   138 KV  BK1,LOAD,DEOK,152374,MORGAN,AKRON,OH,-999999,41.05561922800007,-81.51204426099997,90.9090909090909
119118009,REMINGT 138 KV  BK1,LOAD,DEOK,147898,REMINGTON,REMINGTON,VA,230,38.53964352400004,-77.77721970299996,87.5
