pnode_id,pnode_name,pnode_subtype,pnode_voltage,sub_id,sub_name,sub_city,sub_state,sub_max_volt,sub_lat,sub_lng,match_score
51285,WELLSBORO,AGGREGATE,,123229,HILLSBORO,RIDGELY,MD,138,38.92994327400004,-75.93456886799999,77.77777777777779
51285,WELLSBORO,AGGREGATE,,146946,WAYNESBORO,WAYNESBORO,VA,115,38.06026196800008,-78.87994886299998,73.6842105263158
51286,WERNER CT 1,AGGREGATE,,132954,WERNER,SOUTH AMBOY,NJ,230,40.490034415000025,-74.28146959399999,70.58823529411764
51287,WEST INT HUB,HUB,,108939,WEST HUNTINGTON,HUNTINGTON,WV,138,38.405421199000045,-82.47984769299995,74.07407407407408
51287,WEST INT HUB,HUB,,147941,WEST POINT,WEST POINT,VA,230,37.53926227000005,-76.80383346999997,72.72727272727273
51287,WEST INT HUB,HUB,,146466,WEST RUN,MORGANTOWN,WV,138,39.66984677800008,-79.95989071099996,70.0
51289,WESTWOOD,AGGREGATE,,146228,CRESTWOOD,MIDLOTHIAN,IL,138,41.640118194000024,-87.73311176999994,82.35294117647058
51289,WESTWOOD,AGGREGATE,,153662,CRESTWOOD,FINDLAY,OH,-999999,41.06179597000005,-83.61761457199998,82.35294117647058
51289,WESTWOOD,AGGREGATE,,144005,BETZWOOD,LOWER PROVIDENCE TWP,PA,230,40.11470030100003,-75.42017005999998,75.0
51290,YORK HAVEN,AGGREGATE,,124870,YORK HAVEN,YORK HAVEN,PA,115,40.11347315200004,-76.71186133299994,100.0
51291,AECO,ZONE,,146785,BECO,STERLING,VA,230,39.02455766700007,-77.43713271499996,75.0
51291,AECO,ZONE,,151010,AERO,VIENNA,OH,-999999,41.25930002900003,-80.69903901499998,75.0
51295,JCPL,ZONE,,158408,JCPL,MORRISTOWN,NJ,-999999,40.78555186600005,-74.45086689499993,100.0
51296,METED,ZONE,,140980,HOMESTEAD,SECAUCUS,NJ,345,40.77888959500007,-74.04219029399997,71.42857142857143
51297,PECO,ZONE,,146785,BECO,STERLING,VA,230,39.02455766700007,-77.43713271499996,75.0
51298,PEPCO,ZONE,,146186,PEPCO 117,WASHINGTON,DC,-999999,38.895621478000066,-77.02329362299997,71.42857142857143
51300,PENELEC,ZONE,,137365,PEEBLES,PEEBLES,OH,138,38.957270290000054,-83.42449037699998,71.42857142857143
51303,CEI,INTERFACE,,146547,CECIL,ELKTON,MD,230,39.60865056200004,-75.84297114099996,75.0
52443,ALBURTIS,EHV,500 KV,147474,ALBURTIS,MACUNGIE,PA,500,40.48187564400007,-75.58309325999994,100.0
52444,BRANCHBURG,EHV,500 KV,143610,BRANCHBURG,NESHANIC STATION,NJ,500,40.544349785000065,-74.74218204799996,100.0
52445,BRIGHTON,EHV,500 KV,146243,BRIGHTON,MISHAWAKA,MD,500,39.18533086100007,-77.03695223299997,100.0
52445,BRIGHTON,EHV,500 KV,143967,BURLINGTON,BURLINGTON,NJ,230,40.07523364700006,-74.87408384499997,77.77777777777779
52445,BRIGHTON,EHV,500 KV,147330,BURLINGTON,ROANOKE,VA,138,37.36126086500008,-79.96992234499999,77.77777777777779
52446,BURCHESHILL,EHV,500 KV,146175,BURCHES HILL,CLINTON,MD,500,38.738382939000076,-76.87087412499994,95.65217391304348
52446,BURCHESHILL,EHV,500 KV,143612,BUSHKILL,EAST STROUDSBURG,PA,230,41.07855543200003,-75.02426204899996,73.6842105263158
52447,CALVERTC,EHV,500 KV,122733,CALVERT,SOUTH BEND,IN,138,41.655476848000035,-86.29297209499998,93.33333333333333
52447,CALVERTC,EHV,500 KV,146159,CALVERT CLIFFS,LUSBY,MD,500,38.43268094100006,-76.44433006899999,72.72727272727273
52447,CALVERTC,EHV,500 KV,146048,COVERT,COVERT TWP,MI,-999999,42.321524888000056,-86.29396622699994,71.42857142857143
52448,CHALKPT,EHV,500 KV,146158,CHALK POINT,EAGLE HARBOR,MD,500,38.560304992000056,-76.68896132899994,77.77777777777779
52449,CONASTONE,EHV,500 KV,146549,CONASTONE,WHITE HALL,MD,500,39.68741801400006,-76.54039286299997,100.0
52449,CONASTONE,EHV,500 KV,121261,COALTON,ASHLAND,KY,69,38.36337748900007,-82.75857038399994,75.0
